LOCAL SERACHER, LOCAL NODES
 Attempt    Nodes    Edges Distance          Time         TTime
       1      500      500       -1           158           201
       2      500      500       -1            17            35
       3      500      500       -1            17            35
       4      500      500       -1            16            35
       5      500      500       -1           276          1587
       6      500      500       -1            16            42
       7      500      500       -1            42           116
       8      500      500       -1           607          4974
       9      500      500       -1            97           390
      10      500      500       -1            51           151
      11      500     1000        8          1213          5975
      12      500     1000        8           555          2210
      13      500     1000        9          1153         17765
      14      500     1000       -1           595         19031
      15      500     1000       -1             9            29
      16      500     1000        3            46           114
      17      500     1000       -1             9            24
      18      500     1000        6           185          3120
      19      500     1000       -1            27            18
      20      500     1000       -1           605         11788
      21      500     1500        5           238         13084
      22      500     1500        7           504          5563
      23      500     1500        8           571          2916
      24      500     1500        8           560          2852
      25      500     1500        3            57           172
      26      500     1500        8           401          1471
      27      500     1500        7            81           580
      28      500     1500       -1           715         34951
      29      500     1500        6           247          3210
      30      500     1500        9            94          5239
      31      500     2000        4           108           114
      32      500     2000        4            72            91
      33      500     2000        4            49            71
      34      500     2000        6           190          5561
      35      500     2000        6           288          8953
      36      500     2000        5           201         15915
      37      500     2000        2             7           102
      38      500     2000        6           385         16721
      39      500     2000        4            35            47
      40      500     2000        3            46           106
      41      500     2500        3            67           233
      42      500     2500        4           149           173
      43      500     2500        4           133           159
      44      500     2500        5           283         34086
      45      500     2500        3            37           137
      46      500     2500        2             5           124
      47      500     2500        3            35           137
      48      500     2500        4            93           115
      49      500     2500        5           288         37314
      50      500     2500        4           121           132
      51      500     3000        4           188           198
      52      500     3000        1             2           229
      53      500     3000        4           125           163
      54      500     3000        3            38           201
      55      500     3000        3            55           229
      56      500     3000        4           242           251
      57      500     3000        3            40           200
      58      500     3000        4           196           207
      59      500     3000        3            60           252
      60      500     3000        4           204           214
      61      500     3500        4           164           191
      62      500     3500        3           100           316
      63      500     3500        1             2           278
      64      500     3500        3            64           301
      65      500     3500        4           293           273
      66      500     3500        4           170           198
      67      500     3500        3            49           231
      68      500     3500        4           278           276
      69      500     3500        2            11           276
      70      500     3500        3            71           268
      71      500     4000        3            41           247
      72      500     4000        3           101           304
      73      500     4000        3            27           208
      74      500     4000        3           112           352
      75      500     4000        3           109           343
      76      500     4000        4           320           324
      77      500     4000        4           277           275
      78      500     4000        3            80           312
      79      500     4000        3            73           300
      80      500     4000        3           113           346
      81      500     4500        2            21           393
      82      500     4500        3            96           369
      83      500     4500        4           276           300
      84      500     4500        3            34           230
