# BIN_SEARCH with two step bucketization
size	du3_random
1024*64	5.94019
1024*256	5.94024
1024*1024	5.62001
1024*4096	5.31045
1024*16384	5.00032
1024*65536	5.63296
1024*262144	5.85187
1024*1048576	5.02424
1024*4194304	4.50466
16384*64	6.09311
16384*256	6.10896
16384*1024	5.94787
16384*4096	5.78808
16384*16384	6.0074
16384*65536	8.14804
16384*262144	15.4943
16384*1048576	13.1375
16384*4194304	7.64632
262144*64	6.30715
262144*256	6.30669
262144*1024	6.13805
262144*4096	6.16491
262144*16384	6.49353
262144*65536	9.74029
262144*262144	24.3137
262144*1048576	34.2407
262144*4194304	27.5615
4194304*64	5.67662
4194304*256	6.41077
4194304*1024	6.42632
4194304*4096	6.87694
4194304*16384	7.19837
4194304*65536	10.5088
4194304*262144	26.0025
4194304*1048576	40.8285
4194304*4194304	44.932
