# search with index, CACHE_ELEM_SIZE = 256
size	du3_random
1024*64	5.00016
1024*256	5.63023
1024*1024	5.47001
1024*4096	5.31045
1024*16384	4.84031
1024*65536	5.31279
1024*262144	5.3117
1024*1048576	4.87352
1024*4194304	4.50466
16384*64	5.15263
16384*256	5.63827
16384*1024	5.62745
16384*4096	5.47764
16384*16384	5.75709
16384*65536	7.35629
16384*262144	11.746
16384*1048576	9.9416
16384*4194304	6.51083
262144*64	5.52002
262144*256	5.94342
262144*1024	6.0259
262144*4096	5.84151
262144*16384	6.33145
262144*65536	8.32298
262144*262144	17.6279
262144*1048576	23.1018
262144*4194304	21.3232
4194304*64	5.50632
4194304*256	5.58955
4194304*1024	5.93866
4194304*4096	6.30845
4194304*16384	6.94412
4194304*65536	8.98153
4194304*262144	18.5607
4194304*1048576	26.9946
4194304*4194304	32.6435
