# search with index, CACHE_ELEM_SIZE = 1024 * 4
size	du3_random
1024*64	5.00016
1024*256	5.73023
1024*1024	5.47001
1024*4096	5.16044
1024*16384	4.84031
1024*65536	5.1527
1024*262144	5.02161
1024*1048576	4.71274
1024*4194304	4.35004
16384*64	5.16263
16384*256	5.62826
16384*1024	5.63746
16384*4096	5.46763
16384*16384	5.79714
16384*65536	6.88525
16384*262144	9.56117
16384*1048576	8.06048
16384*4194304	5.86496
262144*64	5.52002
262144*256	5.83242
262144*1024	5.98511
262144*4096	5.70002
262144*16384	6.37197
262144*65536	7.69976
262144*262144	13.6526
262144*1048576	17.6493
262144*4194304	15.9543
4194304*64	5.52903
4194304*256	5.78823
4194304*1024	6.09038
4194304*4096	6.58353
4194304*16384	6.96001
4194304*65536	8.54716
4194304*262144	14.8335
4194304*1048576	20.5208
4194304*4194304	23.9015
