# CACHE_ELEM_SIZE = 1024 * 64
size	du3_random
1024*64	4.89015
1024*256	5.46022
1024*1024	5.16001
1024*4096	4.34037
1024*16384	3.43022
1024*65536	4.22222
1024*262144	3.4311
1024*1048576	2.92411
1024*4194304	2.89659
16384*64	5.00255
16384*256	5.62826
16384*1024	5.47725
16384*4096	5.31742
16384*16384	5.47674
16384*65536	7.82733
16384*262144	8.76942
16384*1048576	6.55357
16384*4194304	4.06276
262144*64	5.52002
262144*256	5.83242
262144*1024	5.74041
262144*4096	5.6798
262144*16384	6.01741
262144*65536	9.41863
262144*262144	13.6426
262144*1048576	15.4012
262144*4194304	13.2482
4194304*64	5.32467
4194304*256	5.58955
4194304*1024	6.10121
4194304*4096	6.30845
4194304*16384	6.51508
4194304*65536	10.5088
4194304*262144	14.771
4194304*1048576	17.8842
4194304*4194304	20.0272
