# regular binary search with single find() function
size	du3_random
1024*64	5.31017
1024*256	5.78024
1024*1024	5.47001
1024*4096	5.00042
1024*16384	4.38028
1024*65536	4.69246
1024*262144	5.16165
1024*1048576	4.08974
1024*4194304	3.70062
16384*64	5.47279
16384*256	5.78849
16384*1024	5.78766
16384*4096	5.63787
16384*16384	5.62693
16384*65536	7.82733
16384*262144	15.6246
16384*1048576	12.9554
16384*4194304	7.16713
262144*64	5.67139
262144*256	5.99387
262144*1024	6.05649
262144*4096	5.8314
262144*16384	6.33145
262144*65536	9.57946
262144*262144	25.0967
262144*1048576	36.0718
262144*4194304	31.0936
4194304*64	5.49497
4194304*256	5.78823
4194304*1024	6.26377
4194304*4096	6.30845
4194304*16384	7.21426
4194304*65536	10.2846
4194304*262144	26.9655
4194304*1048576	42.1861
4194304*4194304	49.8195
