# bucket_search - there are actually very little of buckets
size	du3_random
1024*64	4.88015
1024*256	5.47022
1024*1024	5.34001
1024*4096	4.84041
1024*16384	4.38028
1024*65536	5.97313
1024*262144	4.96159
1024*1048576	4.07969
1024*4194304	4.08202
16384*64	5.00255
16384*256	5.63827
16384*1024	5.62745
16384*4096	5.32743
16384*16384	5.70703
16384*65536	10.7338
16384*262144	13.6202
16384*1048576	10.2652
16384*4194304	6.34416
262144*64	5.20718
262144*256	5.83242
262144*1024	5.74041
262144*4096	5.6798
262144*16384	6.4834
262144*65536	12.404
262144*262144	21.9546
262144*1048576	27.8117
262144*4194304	24.7901
4194304*64	5.67662
4194304*256	6.21209
4194304*1024	6.10121
4194304*4096	6.30845
4194304*16384	7.19837
4194304*65536	13.5634
4194304*262144	23.7512
4194304*1048576	32.4586
4194304*4194304	38.3457
