# first unoptimized table_search with 16 bit shift
size	du3_random
1024*64	2.03006
1024*256	1.73007
1024*1024	1.4
1024*4096	1.57013
1024*16384	2.34015
1024*65536	3.75197
1024*262144	3.90125
1024*1048576	3.92896
1024*4194304	3.70062
16384*64	2.3512
16384*256	1.72253
16384*1024	1.56207
16384*4096	1.41197
16384*16384	2.0325
16384*65536	4.38972
16384*262144	6.73491
16384*1048576	5.6838
16384*4194304	4.56279
262144*64	2.52286
262144*256	2.04841
262144*1024	1.75373
262144*4096	1.7383
262144*16384	2.38062
262144*65536	5.17673
262144*262144	9.40624
262144*1048576	12.4207
262144*4194304	11.9223
4194304*64	2.48636
4194304*256	2.07953
4194304*1024	2.04819
4194304*4096	2.29231
4194304*16384	2.74905
4194304*65536	5.70278
4194304*262144	10.1809
4194304*1048576	14.0358
4194304*4194304	17.9907
