# table_search with combined approach - if isize is too big
# the lut_bits is changed to 24, otherwise it is leaved at default 16
size	du3_random
1024*64	2.19007
1024*256	1.56006
1024*1024	1.57
1024*4096	1.71014
1024*16384	2.35015
1024*65536	3.75197
1024*262144	4.0613
1024*1048576	3.45668
1024*4194304	3.48415
16384*64	2.19112
16384*256	2.03298
16384*1024	1.56207
16384*4096	1.41197
16384*16384	2.0325
16384*65536	4.55008
16384*262144	7.06565
16384*1048576	5.21858
16384*4194304	4.26069
262144*64	2.68432
262144*256	2.04841
262144*1024	1.75373
262144*4096	1.74841
262144*16384	2.53258
262144*65536	5.33756
262144*262144	10.2595
262144*1048576	10.0403
262144*4194304	8.83575
4194304*64	2.48636
4194304*256	1.85435
4194304*1024	1.85312
4194304*4096	1.9989
4194304*16384	3.22576
4194304*65536	5.91296
4194304*262144	10.9438
4194304*1048576	11.3992
4194304*4194304	12.8349
