# same as data09.out but compiled as x64
# table_search with combined lut_size
size	du3_random
1024*64	2.49008
1024*256	2.01008
1024*1024	1.78
1024*4096	1.95016
1024*16384	2.53016
1024*65536	6.62348
1024*262144	5.74184
1024*1048576	5.53672
1024*4194304	5.41177
16384*64	2.69137
16384*256	2.14314
16384*1024	1.92254
16384*4096	2.44341
16384*16384	3.62446
16384*65536	7.19593
16384*262144	9.03
16384*1048576	6.8772
16384*4194304	5.87538
262144*64	3.20908
262144*256	2.51258
262144*1024	2.16157
262144*4096	2.16277
262144*16384	3.32274
262144*65536	8.1722
262144*262144	11.8055
262144*1048576	11.495
262144*4194304	10.5312
4194304*64	3.00861
4194304*256	2.49013
4194304*1024	2.31911
4194304*4096	2.67742
4194304*16384	3.86138
4194304*65536	8.75734
4194304*262144	12.6948
4194304*1048576	13.1831
4194304*4194304	14.5833
