# binary_search
size	du3_random
1024*4	5.68013
1024*8	5.2801
1024*16	5.19011
1024*32	4.91022
1024*64	5.05016
1024*128	5.3201
1024*256	5.49022
16384*4	5.83097
16384*8	5.36243
16384*16	5.18197
16384*32	4.99453
16384*64	5.14262
16384*128	5.41139
16384*256	5.49807
262144*4	6.26769
262144*8	5.70193
262144*16	5.50113
262144*32	5.35863
262144*64	5.4191
262144*128	5.66083
262144*256	5.7517
4194304*4	6.30106
4194304*8	5.68628
4194304*16	5.53131
4194304*32	5.31143
4194304*64	5.19978
4194304*128	5.23029
4194304*256	5.57631
