# table_search with 64 linear step
size	du3_random
1024*64	2.29007
1024*256	1.80007
1024*1024	1.63
1024*4096	1.85016
1024*16384	2.47016
1024*65536	6.56344
1024*262144	5.96191
1024*1048576	5.40609
1024*4194304	5.29839
16384*64	2.49127
16384*256	1.94285
16384*1024	1.70225
16384*4096	2.30321
16384*16384	3.53435
16384*65536	7.00551
16384*262144	8.58902
16384*1048576	8.36389
16384*4194304	6.12539
262144*64	2.92652
262144*256	2.42177
262144*1024	1.98824
262144*4096	2.06171
262144*16384	3.13027
262144*65536	7.96111
262144*262144	11.685
262144*1048576	11.495
262144*4194304	10.4551
4194304*64	2.7929
4194304*256	2.26496
4194304*1024	2.22158
4194304*4096	2.56739
4194304*16384	3.73425
4194304*65536	8.72932
4194304*262144	13.1826
4194304*1048576	13.228
4194304*4194304	14.3846
