LOCAL SERACHER, LOCAL NODES
 Attempt    Nodes    Edges Distance          Time         TTime
       1     1000     1000       -1           398          1785
       2     1000     1000       -1           147           719
       3     1000     1000       -1            30            78
       4     1000     1000       -1          1191          9408
       5     1000     1000       -1            14            31
       6     1000     1000       -1            87           488
       7     1000     1000       -1            14            32
       8     1000     1000       -1            14            33
       9     1000     1000       -1            24            63
      10     1000     1000       -1            16            30
      11     1000     2000       -1            24            30
      12     1000     2000        5           319          8508
      13     1000     2000       -1          3059         40686
      14     1000     2000       14           109           457
      15     1000     2000        7           227          1449
      16     1000     2000       -1            16            34
      17     1000     2000        8           398          1753
      18     1000     2000        7           170          1145
      19     1000     2000       10           539          8552
      20     1000     2000       11           650          6510
      21     1000     3000        7           850          9748
      22     1000     3000        8           950          5854
      23     1000     3000        8           337          1054
      24     1000     3000        3            25           114
      25     1000     3000       11          1314         27737
      26     1000     3000        7           583          9968
      27     1000     3000        5           112         11420
      28     1000     3000        7           494          9652
      29     1000     3000        9           747         55851
      30     1000     3000        3            24           178
      31     1000     4000        7           815         18542
      32     1000     4000        5           236         22235
      33     1000     4000        7           908         28551
      34     1000     4000        6           419         11897
      35     1000     4000        5           219         27511
      36     1000     4000        8            98           205
      37     1000     4000        6           197          6584
      38     1000     4000        3            16            92
      39     1000     4000        4            31            49
      40     1000     4000        7           537         12214
      41     1000     5000        4            90           150
      42     1000     5000        4           124           185
      43     1000     5000        6           472         33339
      44     1000     5000        5           245         45438
      45     1000     5000        4           114           190
      46     1000     5000        3            30           197
      47     1000     5000        4            80           131
      48     1000     5000        4           194           286
      49     1000     5000        4           247           368
      50     1000     5000        4            63           104
      51     1000     6000        4           195           269
      52     1000     6000        4           117           199
      53     1000     6000        3            55           371
      54     1000     6000        4           326           445
      55     1000     6000        4           258           369
      56     1000     6000        5           585        185775
      57     1000     6000        5           502        169552
      58     1000     6000        4           206           282
      59     1000     6000        3            38           270
      60     1000     6000        5           300         78544
      61     1000     7000        3            49           373
      62     1000     7000        5           741        301726
      63     1000     7000        4           358           472
      64     1000     7000        3            52           385
      65     1000     7000        4           243           364
      66     1000     7000        3            46           361
      67     1000     7000        5           524        244422
      68     1000     7000        4           294           397
      69     1000     7000        5           637        263037
      70     1000     7000        4           318           422
      71     1000     8000        4           439           526
      72     1000     8000        4           450           531
      73     1000     8000        2             8           441
      74     1000     8000        5           725        365274
      75     1000     8000        4           452           539
      76     1000     8000        2            16           545
      77     1000     8000        4           402           502
      78     1000     8000        3            63           520
      79     1000     8000        3           122           551
      80     1000     8000        4           347           443
      81     1000     9000        4           521           601
      82     1000     9000        3           116           594
      83     1000     9000        3           135           642
      84     1000     9000        3           153           689
      85     1000     9000        3            83           518
      86     1000     9000        4           476           567
      87     1000     9000        4           405           517
      88     1000     9000        3            93           576
      89     1000     9000        3           148           672
      90     1000     9000        3           103           570
      91     1000    10000        3           101           600
      92     1000    10000        3           159           703
      93     1000    10000        3           138           691
      94     1000    10000        2            14           650
      95     1000    10000        3            91           582
      96     1000    10000        4           345           460
      97     1000    10000        3           178           752
      98     1000    10000        4           609           683
      99     1000    10000        2            23           756
     100     1000    10000        2            14           648
     101     1000    11000        4           779           793
     102     1000    11000        4           679           744
     103     1000    11000        3           157           766
     104     1000    11000        3           138           734
     105     1000    11000        3            53           449
     106     1000    11000        4           632           708
     107     1000    11000        3           201           833
     108     1000    11000        4           661           736
     109     1000    11000        3            86           579
     110     1000    11000        4           656           727
     111     1000    12000        4           824           851
     112     1000    12000        3           203           856
     113     1000    12000        3           137           772
     114     1000    12000        3           243           902
     115     1000    12000        4           656           725
     116     1000    12000        4           698           772
     117     1000    12000        3           223           897
     118     1000    12000        3           240           919
     119     1000    12000        3           208           882
     120     1000    12000        3           220           905
     121     1000    13000        3           238          1002
     122     1000    13000        2            15           827
     123     1000    13000        4           795           896
     124     1000    13000        3           221           943
     125     1000    13000        3           196           894
     126     1000    13000        3           300          1001
     127     1000    13000        3           289           997
     128     1000    13000        4           687           752
     129     1000    13000        3           291          1002
     130     1000    13000        3           217           936
     131     1000    14000        3           246          1047
     132     1000    14000        3           223           999
     133     1000    14000        3           232          1000
     134     1000    14000        2            33          1041
     135     1000    14000        4           938          1001
     136     1000    14000        3           150           870
     137     1000    14000        2            50          1094
     138     1000    14000        2            37          1071
     139     1000    14000        3           224           982
     140     1000    14000        3           215           974
     141     1000    15000        3           305          1126
     142     1000    15000        2            26          1054
     143     1000    15000        3           282          1118
     144     1000    15000        3           253          1073
     145     1000    15000        3           327          1105
     146     1000    15000        3           304          3422
     147     1000    15000        3           333          1074
     148     1000    15000        3           360          1128
     149     1000    15000        3           347          1079
     150     1000    15000        3           252          1040
     151     1000    16000        3           379          1240
     152     1000    16000        3           294          1139
     153     1000    16000        3           410          1182
     154     1000    16000        2            40          1169
     155     1000    16000        3           366          1179
     156     1000    16000        2            27          1142
     157     1000    16000        3           343          1144
     158     1000    16000        3           388          1157
     159     1000    16000        3           389          1198
     160     1000    16000        2            21          1128
     161     1000    17000        3           432          1265
     162     1000    17000        3           376          1218
     163     1000    17000        3           289          1195
     164     1000    17000        2            27          1171
     165     1000    17000        4          1194          1239
     166     1000    17000        3           346          1226
     167     1000    17000        3           273          1164
     168     1000    17000        2            41          1208
     169     1000    17000        3           394          1227
     170     1000    17000        3           572          1250
     171     1000    18000        2            54          1314
     172     1000    18000        1             3          1270
     173     1000    18000        3           440          1281
     174     1000    18000        3           277          1224
     175     1000    18000        3           430          1284
     176     1000    18000        3           387          1257
     177     1000    18000        3           295          1228
     178     1000    18000        2            37          1261
     179     1000    18000        2            43          1269
     180     1000    18000        3           396          1257
     181     1000    19000        3           349          1334
     182     1000    19000        2            25          1328
     183     1000    19000        3           443          1322
     184     1000    19000        2            39          1311
     185     1000    19000        2            58          1323
     186     1000    19000        2            38          1326
     187     1000    19000        2            48          1322
     188     1000    19000        3           388          1320
     189     1000    19000        1             3          1312
     190     1000    19000        3           333          1292
LOCAL SEARCHER, REMOTE NODES
 Attempt    Nodes    Edges Distance          Time         TTime
       1     1000     1000       -1          1337          2010
       2     1000     1000       -1           145           264
       3     1000     1000       -1          3719         12332
       4     1000     1000       -1           443           874
       5     1000     1000       -1          3332         13161
       6     1000     1000       -1           130           267
       7     1000     1000       -1           122           255
       8     1000     1000       -1          3763         12441
       9     1000     1000       -1           455           602
      10     1000     1000       -1           122           253
      11     1000     2000       12         83235        322338
      12     1000     2000       -1           107           163
      13     1000     2000        7         12736         47709
      14     1000     2000       -1            89           159
      15     1000     2000        8         32816         44233
      16     1000     2000       11         83963        685116
      17     1000     2000       -1         92307       1281965
      18     1000     2000       10         27634        245389
      19     1000     2000       10         40643        403092
      20     1000     2000       11         72891        879977
      21     1000     3000        3          1020          3703
      22     1000     3000        5          8412        321507
      23     1000     3000        8         94792        525197
      24     1000     3000        5         20722        870524
      25     1000     3000        7         79396        209361
      26     1000     3000        8         85577        474775
      27     1000     3000        7         70097        729886
      28     1000     3000        5         23208       1105510
      29     1000     3000        6         23717        361843
      30     1000     3000        5          7329        333465
      31     1000     4000        5         42187       3299865
      32     1000     4000        5         29420       2903727
      33     1000     4000        5         35217       3507807
      34     1000     4000        7         54041        571335
      35     1000     4000        7        418986        847925
      36     1000     4000       -1            74           124
      37     1000     4000        4         12196         14329
      38     1000     4000        6         68666       2783060
      39     1000     4000        5         27339       2979958
      40     1000     4000        6         95742       2521550
      41     1000     5000        5         54915       8974584
      42     1000     5000        4         33784         36158
      43     1000     5000        4         13393         17101
      44     1000     5000        4         25479         29793
      45     1000     5000        5         61797      12711480
      46     1000     5000        5         71411      12965344
